ppo, pdo, tpo, tdo
the worker brought the coffee to the minister .,the worker brought the minister the coffee .,a guest took a newspaper to an adult .,a guest took an adult a newspaper .
the priest threw the meal to the brother .,the priest threw the brother the meal .,a guest took a newspaper to an adult .,a guest took an adult a newspaper .
the husband fed the chicken to the cousin .,the husband fed the cousin the chicken .,a guest took a newspaper to an adult .,a guest took an adult a newspaper .
the son sent the meal to the business .,the son sent the business the meal .,a guest took a newspaper to an adult .,a guest took an adult a newspaper .
the teacher sold the juice to the band .,the teacher sold the band the juice .,a guest took a newspaper to an adult .,a guest took an adult a newspaper .
the president sent the hat to the champion .,the president sent the champion the hat .,a guest took a newspaper to an adult .,a guest took an adult a newspaper .
the candidate fed the cheese to the guy .,the candidate fed the guy the cheese .,a guest took a newspaper to an adult .,a guest took an adult a newspaper .
the teacher gave the button to the corporation .,the teacher gave the corporation the button .,a guest took a newspaper to an adult .,a guest took an adult a newspaper .
the woman threw the coffee to the uncle .,the woman threw the uncle the coffee .,a guest took a newspaper to an adult .,a guest took an adult a newspaper .
the author sent the candy to the band .,the author sent the band the candy .,a guest took a newspaper to an adult .,a guest took an adult a newspaper .
the professor showed the newspaper to the candidate .,the professor showed the candidate the newspaper .,a daughter fed a chicken to a minister .,a daughter fed a minister a chicken .
the nurse sent the candy to the company .,the nurse sent the company the candy .,a daughter fed a chicken to a minister .,a daughter fed a minister a chicken .
the adult threw the crystal to the physician .,the adult threw the physician the crystal .,a daughter fed a chicken to a minister .,a daughter fed a minister a chicken .
the reader took the bowl to the husband .,the reader took the husband the bowl .,a daughter fed a chicken to a minister .,a daughter fed a minister a chicken .
the winner gave the salad to the nurse .,the winner gave the nurse the salad .,a daughter fed a chicken to a minister .,a daughter fed a minister a chicken .
the mayor sent the book to the captain .,the mayor sent the captain the book .,a daughter fed a chicken to a minister .,a daughter fed a minister a chicken .
the boy gave the cheese to the actress .,the boy gave the actress the cheese .,a daughter fed a chicken to a minister .,a daughter fed a minister a chicken .
the captain sold the newspaper to the soldier .,the captain sold the soldier the newspaper .,a daughter fed a chicken to a minister .,a daughter fed a minister a chicken .
the actor gave the coffee to the worker .,the actor gave the worker the coffee .,a daughter fed a chicken to a minister .,a daughter fed a minister a chicken .
the aunt brought the beer to the professor .,the aunt brought the professor the beer .,a daughter fed a chicken to a minister .,a daughter fed a minister a chicken .
a kid saved a juice for a club .,a kid saved a club a juice .,the prince made the cigarette for the partner .,the prince made the partner the cigarette .
an employee saved a motor for a winner .,an employee saved a winner a motor .,the prince made the cigarette for the partner .,the prince made the partner the cigarette .
a leader saved a coffee for an actor .,a leader saved an actor a coffee .,the prince made the cigarette for the partner .,the prince made the partner the cigarette .
a colonel purchased a pot for an army .,a colonel purchased an army a pot .,the prince made the cigarette for the partner .,the prince made the partner the cigarette .
a mother purchased a tea for a corporation .,a mother purchased a corporation a tea .,the prince made the cigarette for the partner .,the prince made the partner the cigarette .
an adult saved a beer for a band .,an adult saved a band a beer .,the prince made the cigarette for the partner .,the prince made the partner the cigarette .
a bishop purchased a beer for an administration .,a bishop purchased an administration a beer .,the prince made the cigarette for the partner .,the prince made the partner the cigarette .
a teacher found a coffee for a cousin .,a teacher found a cousin a coffee .,the prince made the cigarette for the partner .,the prince made the partner the cigarette .
a winner got a chicken for an army .,a winner got an army a chicken .,the prince made the cigarette for the partner .,the prince made the partner the cigarette .
a bishop purchased a salad for a band .,a bishop purchased a band a salad .,the prince made the cigarette for the partner .,the prince made the partner the cigarette .
the chief made the bag for the company .,the chief made the company the bag .,a sheriff bought a computer for a king .,a sheriff bought a king a computer .
the actress left the anchor for the band .,the actress left the band the anchor .,a sheriff bought a computer for a king .,a sheriff bought a king a computer .
the worker saved the book for the pilot .,the worker saved the pilot the book .,a sheriff bought a computer for a king .,a sheriff bought a king a computer .
the parent got the instrument for the author .,the parent got the author the instrument .,a sheriff bought a computer for a king .,a sheriff bought a king a computer .
the captain left the plate for the adult .,the captain left the adult the plate .,a sheriff bought a computer for a king .,a sheriff bought a king a computer .
the guest purchased the juice for the army .,the guest purchased the army the juice .,a sheriff bought a computer for a king .,a sheriff bought a king a computer .
the pilot got the beer for the adult .,the pilot got the adult the beer .,a sheriff bought a computer for a king .,a sheriff bought a king a computer .
the doctor left the juice for the man .,the doctor left the man the juice .,a sheriff bought a computer for a king .,a sheriff bought a king a computer .
the wife made the iron for the mayor .,the wife made the mayor the iron .,a sheriff bought a computer for a king .,a sheriff bought a king a computer .
the brother purchased the beer for the chief .,the brother purchased the chief the beer .,a sheriff bought a computer for a king .,a sheriff bought a king a computer .
the pilot brought the juice to the corporation .,the pilot brought the corporation the juice .,a guest promised a cheese to a woman .,a guest promised a woman a cheese .
the lawyer sent the candy to the partner .,the lawyer sent the partner the candy .,a guest promised a cheese to a woman .,a guest promised a woman a cheese .
the king took the iron to the father .,the king took the father the iron .,a guest promised a cheese to a woman .,a guest promised a woman a cheese .
the reader sent the tea to the business .,the reader sent the business the tea .,a guest promised a cheese to a woman .,a guest promised a woman a cheese .
the soldier sent the beer to the hero .,the soldier sent the hero the beer .,a guest promised a cheese to a woman .,a guest promised a woman a cheese .
the employer took the cup to the soldier .,the employer took the soldier the cup .,a guest promised a cheese to a woman .,a guest promised a woman a cheese .
the winner showed the juice to the boy .,the winner showed the boy the juice .,a guest promised a cheese to a woman .,a guest promised a woman a cheese .
the child fed the candy to the partner .,the child fed the partner the candy .,a guest promised a cheese to a woman .,a guest promised a woman a cheese .
the guy took the cigarette to the parent .,the guy took the parent the cigarette .,a guest promised a cheese to a woman .,a guest promised a woman a cheese .
the boy fed the candy to the physician .,the boy fed the physician the candy .,a guest promised a cheese to a woman .,a guest promised a woman a cheese .
a wife threw a beer to a mayor .,a wife threw a mayor a beer .,the lady sold the hat to the cousin .,the lady sold the cousin the hat .
a leader took a cup to a son .,a leader took a son a cup .,the lady sold the hat to the cousin .,the lady sold the cousin the hat .
an employer showed a telephone to a band .,an employer showed a band a telephone .,the lady sold the hat to the cousin .,the lady sold the cousin the hat .
