ppo, pdo, tpo, tdo
the mayor purchased the gun for the corporation .,the mayor purchased the corporation the gun .,the physician sent the cheese to the mother .,the physician sent the mother the cheese .
the soldier bought the crystal for the guy .,the soldier bought the guy the crystal .,the physician sent the cheese to the mother .,the physician sent the mother the cheese .
the son bought the telephone for the guest .,the son bought the guest the telephone .,the physician sent the cheese to the mother .,the physician sent the mother the cheese .
the boy made the television for the student .,the boy made the student the television .,the physician sent the cheese to the mother .,the physician sent the mother the cheese .
the chief saved the camera for the administration .,the chief saved the administration the camera .,the physician sent the cheese to the mother .,the physician sent the mother the cheese .
the minister found the meal for the club .,the minister found the club the meal .,the physician sent the cheese to the mother .,the physician sent the mother the cheese .
the girl found the coffee for the princess .,the girl found the princess the coffee .,the physician sent the cheese to the mother .,the physician sent the mother the cheese .
the leader left the pie for the chief .,the leader left the chief the pie .,the physician sent the cheese to the mother .,the physician sent the mother the cheese .
the employee left the pot for the sheriff .,the employee left the sheriff the pot .,the physician sent the cheese to the mother .,the physician sent the mother the cheese .
the attorney saved the bowl for the manager .,the attorney saved the manager the bowl .,the physician sent the cheese to the mother .,the physician sent the mother the cheese .
a secretary sold a juice to a manager .,a secretary sold a manager a juice .,a doctor delivered an anchor for a kid .,a doctor delivered a kid an anchor .
a buddy promised a meal to a priest .,a buddy promised a priest a meal .,a doctor delivered an anchor for a kid .,a doctor delivered a kid an anchor .
a cop showed a book to a bishop .,a cop showed a bishop a book .,a doctor delivered an anchor for a kid .,a doctor delivered a kid an anchor .
a captain threw a pie to a partner .,a captain threw a partner a pie .,a doctor delivered an anchor for a kid .,a doctor delivered a kid an anchor .
a parent supplied a meal to a hero .,a parent supplied a hero a meal .,a doctor delivered an anchor for a kid .,a doctor delivered a kid an anchor .
a singer fed a chicken to a chief .,a singer fed a chief a chicken .,a doctor delivered an anchor for a kid .,a doctor delivered a kid an anchor .
an aunt sold a beer to a mayor .,an aunt sold a mayor a beer .,a doctor delivered an anchor for a kid .,a doctor delivered a kid an anchor .
a princess supplied a cheese to a club .,a princess supplied a club a cheese .,a doctor delivered an anchor for a kid .,a doctor delivered a kid an anchor .
a girl promised a chocolate to a pilot .,a girl promised a pilot a chocolate .,a doctor delivered an anchor for a kid .,a doctor delivered a kid an anchor .
a son fed a chicken to a friend .,a son fed a friend a chicken .,a doctor delivered an anchor for a kid .,a doctor delivered a kid an anchor .
the pilot drew the crystal for the company .,the pilot drew the company the crystal .,the hero brought the book to the partner .,the hero brought the partner the book .
the captain drew the crystal for the daughter .,the captain drew the daughter the crystal .,the hero brought the book to the partner .,the hero brought the partner the book .
the kid purchased the anchor for the army .,the kid purchased the army the anchor .,the hero brought the book to the partner .,the hero brought the partner the book .
the actor bought the coffee for the father .,the actor bought the father the coffee .,the hero brought the book to the partner .,the hero brought the partner the book .
the lady kept the tea for the brother .,the lady kept the brother the tea .,the hero brought the book to the partner .,the hero brought the partner the book .
the husband designed the hat for the guest .,the husband designed the guest the hat .,the hero brought the book to the partner .,the hero brought the partner the book .
the army designed the gun for the administration .,the army designed the administration the gun .,the hero brought the book to the partner .,the hero brought the partner the book .
the worker made the card for the actress .,the worker made the actress the card .,the hero brought the book to the partner .,the hero brought the partner the book .
the professor made the motor for the lawyer .,the professor made the lawyer the motor .,the hero brought the book to the partner .,the hero brought the partner the book .
the physician drew the machine for the daughter .,the physician drew the daughter the machine .,the hero brought the book to the partner .,the hero brought the partner the book .
an actor promised a chicken to a reader .,an actor promised a reader a chicken .,a prince made a wire for a worker .,a prince made a worker a wire .
a reader took a flower to a lawyer .,a reader took a lawyer a flower .,a prince made a wire for a worker .,a prince made a worker a wire .
a president sold a salad to a company .,a president sold a company a salad .,a prince made a wire for a worker .,a prince made a worker a wire .
